assessment_score_id,student_id,course_id,assessment_id,points_possible,points_earned,retake_flag
TS-STU2026001-ASM01,STU2026001,ALG1-A,ASM01,25,20.7,No
TS-STU2026001-ASM02,STU2026001,ALG1-A,ASM02,25,22.7,No
TS-STU2026001-ASM03,STU2026001,ALG1-A,ASM03,25,22.4,Yes
TS-STU2026001-ASM04,STU2026001,ALG1-A,ASM04,100,79.3,No
TS-STU2026001-ASM05,STU2026001,ALG1-A,ASM05,25,23.0,No
TS-STU2026001-ASM06,STU2026001,ALG1-A,ASM06,25,14.4,No
TS-STU2026001-ASM07,STU2026001,ALG1-A,ASM07,25,15.8,No
TS-STU2026001-ASM08,STU2026001,ALG1-A,ASM08,100,66.6,No
TS-STU2026002-ASM01,STU2026002,ALG1-A,ASM01,25,13.4,No
TS-STU2026002-ASM02,STU2026002,ALG1-A,ASM02,25,13.2,No
TS-STU2026002-ASM03,STU2026002,ALG1-A,ASM03,25,11.6,No
TS-STU2026002-ASM04,STU2026002,ALG1-A,ASM04,100,55.4,No
TS-STU2026002-ASM05,STU2026002,ALG1-A,ASM05,25,12.3,No
TS-STU2026002-ASM06,STU2026002,ALG1-A,ASM06,25,13.2,No
TS-STU2026002-ASM07,STU2026002,ALG1-A,ASM07,25,14.8,No
TS-STU2026002-ASM08,STU2026002,ALG1-A,ASM08,100,70.2,No
TS-STU2026003-ASM01,STU2026003,ALG1-A,ASM01,25,14.3,No
TS-STU2026003-ASM02,STU2026003,ALG1-A,ASM02,25,11.2,No
TS-STU2026003-ASM03,STU2026003,ALG1-A,ASM03,25,11.6,No
TS-STU2026003-ASM04,STU2026003,ALG1-A,ASM04,100,40.8,No
TS-STU2026003-ASM05,STU2026003,ALG1-A,ASM05,25,12.0,No
TS-STU2026003-ASM06,STU2026003,ALG1-A,ASM06,25,8.6,No
TS-STU2026003-ASM07,STU2026003,ALG1-A,ASM07,25,7.5,No
TS-STU2026003-ASM08,STU2026003,ALG1-A,ASM08,100,62.5,No
TS-STU2026004-ASM01,STU2026004,ALG1-A,ASM01,25,19.7,No
TS-STU2026004-ASM02,STU2026004,ALG1-A,ASM02,25,20.6,No
TS-STU2026004-ASM03,STU2026004,ALG1-A,ASM03,25,22.9,No
TS-STU2026004-ASM04,STU2026004,ALG1-A,ASM04,100,86.3,Yes
TS-STU2026004-ASM05,STU2026004,ALG1-A,ASM05,25,16.5,No
TS-STU2026004-ASM06,STU2026004,ALG1-A,ASM06,25,22.7,No
TS-STU2026004-ASM07,STU2026004,ALG1-A,ASM07,25,23.7,No
TS-STU2026004-ASM08,STU2026004,ALG1-A,ASM08,100,82.9,No
