score_id,student_id,course_id,assignment_id,date_submitted,submission_status,points_possible,points_earned,missing_flag,late_flag
AS-STU2026001-HW01,STU2026001,ALG1-A,HW01,2026-09-12,Late,20,12.1,No,Yes
AS-STU2026001-HW02,STU2026001,ALG1-A,HW02,2026-09-15,Submitted,10,8.3,No,No
AS-STU2026001-HW03,STU2026001,ALG1-A,HW03,2026-09-17,Submitted,20,11.4,No,No
AS-STU2026001-HW04,STU2026001,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026001-HW05,STU2026001,ALG1-A,HW05,2026-09-23,Submitted,20,15.0,No,No
AS-STU2026001-HW06,STU2026001,ALG1-A,HW06,2026-09-25,Submitted,20,18.3,No,No
AS-STU2026001-HW07,STU2026001,ALG1-A,HW07,2026-09-29,Late,10,6.9,No,Yes
AS-STU2026001-HW08,STU2026001,ALG1-A,HW08,2026-10-01,Late,20,15.0,No,Yes
AS-STU2026001-HW09,STU2026001,ALG1-A,HW09,2026-10-05,Submitted,20,15.1,No,No
AS-STU2026001-HW10,STU2026001,ALG1-A,HW10,2026-10-07,Submitted,15,10.4,No,No
AS-STU2026001-HW11,STU2026001,ALG1-A,HW11,,Missing,20,0,Yes,No
AS-STU2026001-HW12,STU2026001,ALG1-A,HW12,2026-10-13,Submitted,20,14.5,No,No
AS-STU2026001-HW13,STU2026001,ALG1-A,HW13,2026-10-15,Submitted,20,15.1,No,No
AS-STU2026001-HW14,STU2026001,ALG1-A,HW14,2026-10-19,Submitted,10,8.5,No,No
AS-STU2026001-HW15,STU2026001,ALG1-A,HW15,2026-10-21,Submitted,20,17.4,No,No
AS-STU2026001-HW16,STU2026001,ALG1-A,HW16,2026-10-23,Submitted,20,12.1,No,No
AS-STU2026001-HW17,STU2026001,ALG1-A,HW17,2026-10-27,Submitted,20,16.6,No,No
AS-STU2026001-HW18,STU2026001,ALG1-A,HW18,2026-10-31,Late,10,5.4,No,Yes
AS-STU2026002-HW01,STU2026002,ALG1-A,HW01,2026-09-11,Submitted,20,10.7,No,No
AS-STU2026002-HW02,STU2026002,ALG1-A,HW02,2026-09-16,Late,10,7.0,No,Yes
AS-STU2026002-HW03,STU2026002,ALG1-A,HW03,2026-09-17,Submitted,20,13.9,No,No
AS-STU2026002-HW04,STU2026002,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026002-HW05,STU2026002,ALG1-A,HW05,2026-09-23,Submitted,20,13.6,No,No
AS-STU2026002-HW06,STU2026002,ALG1-A,HW06,2026-09-25,Submitted,20,8.6,No,No
AS-STU2026002-HW07,STU2026002,ALG1-A,HW07,2026-09-29,Submitted,10,6.6,No,No
AS-STU2026002-HW08,STU2026002,ALG1-A,HW08,2026-10-01,Submitted,20,11.7,No,No
AS-STU2026002-HW09,STU2026002,ALG1-A,HW09,,Missing,20,0,Yes,No
AS-STU2026002-HW10,STU2026002,ALG1-A,HW10,,Missing,15,0,Yes,No
AS-STU2026002-HW11,STU2026002,ALG1-A,HW11,2026-10-09,Submitted,20,13.7,No,No
AS-STU2026002-HW12,STU2026002,ALG1-A,HW12,2026-10-13,Submitted,20,10.5,No,No
AS-STU2026002-HW13,STU2026002,ALG1-A,HW13,2026-10-15,Submitted,20,13.3,No,No
AS-STU2026002-HW14,STU2026002,ALG1-A,HW14,2026-10-22,Late,10,5.9,No,Yes
AS-STU2026002-HW15,STU2026002,ALG1-A,HW15,,Missing,20,0,Yes,No
AS-STU2026002-HW16,STU2026002,ALG1-A,HW16,2026-10-23,Submitted,20,13.1,No,No
AS-STU2026002-HW17,STU2026002,ALG1-A,HW17,2026-10-27,Submitted,20,9.8,No,No
AS-STU2026002-HW18,STU2026002,ALG1-A,HW18,2026-10-29,Submitted,10,4.8,No,No
AS-STU2026003-HW01,STU2026003,ALG1-A,HW01,2026-09-11,Submitted,20,7.0,No,No
AS-STU2026003-HW02,STU2026003,ALG1-A,HW02,2026-09-15,Submitted,10,6.8,No,No
AS-STU2026003-HW03,STU2026003,ALG1-A,HW03,,Missing,20,0,Yes,No
AS-STU2026003-HW04,STU2026003,ALG1-A,HW04,2026-09-21,Submitted,20,7.5,No,No
AS-STU2026003-HW05,STU2026003,ALG1-A,HW05,2026-09-23,Submitted,20,9.9,No,No
AS-STU2026003-HW06,STU2026003,ALG1-A,HW06,,Missing,20,0,Yes,No
AS-STU2026003-HW07,STU2026003,ALG1-A,HW07,2026-09-30,Late,10,4.1,No,Yes
AS-STU2026003-HW08,STU2026003,ALG1-A,HW08,2026-10-01,Submitted,20,12.1,No,No
AS-STU2026003-HW09,STU2026003,ALG1-A,HW09,2026-10-05,Submitted,20,10.3,No,No
AS-STU2026003-HW10,STU2026003,ALG1-A,HW10,2026-10-07,Submitted,15,9.0,No,No
AS-STU2026003-HW11,STU2026003,ALG1-A,HW11,2026-10-09,Submitted,20,9.6,No,No
AS-STU2026003-HW12,STU2026003,ALG1-A,HW12,2026-10-13,Submitted,20,12.8,No,No
AS-STU2026003-HW13,STU2026003,ALG1-A,HW13,,Missing,20,0,Yes,No
AS-STU2026003-HW14,STU2026003,ALG1-A,HW14,,Missing,10,0,Yes,No
AS-STU2026003-HW15,STU2026003,ALG1-A,HW15,2026-10-21,Submitted,20,11.6,No,No
AS-STU2026003-HW16,STU2026003,ALG1-A,HW16,2026-10-23,Submitted,20,11.1,No,No
AS-STU2026003-HW17,STU2026003,ALG1-A,HW17,,Missing,20,0,Yes,No
AS-STU2026003-HW18,STU2026003,ALG1-A,HW18,2026-10-31,Late,10,4.3,No,Yes
AS-STU2026004-HW01,STU2026004,ALG1-A,HW01,,Missing,20,0,Yes,No
AS-STU2026004-HW02,STU2026004,ALG1-A,HW02,2026-09-15,Submitted,10,8.3,No,No
AS-STU2026004-HW03,STU2026004,ALG1-A,HW03,2026-09-17,Submitted,20,20.0,No,No
AS-STU2026004-HW04,STU2026004,ALG1-A,HW04,2026-09-21,Submitted,20,18.2,No,No
AS-STU2026004-HW05,STU2026004,ALG1-A,HW05,2026-09-26,Late,20,18.0,No,Yes
AS-STU2026004-HW06,STU2026004,ALG1-A,HW06,2026-09-25,Submitted,20,16.1,No,No
AS-STU2026004-HW07,STU2026004,ALG1-A,HW07,2026-10-02,Late,10,9.0,No,Yes
AS-STU2026004-HW08,STU2026004,ALG1-A,HW08,2026-10-01,Submitted,20,20.0,No,No
AS-STU2026004-HW09,STU2026004,ALG1-A,HW09,2026-10-05,Submitted,20,17.9,No,No
AS-STU2026004-HW10,STU2026004,ALG1-A,HW10,2026-10-09,Late,15,11.1,No,Yes
AS-STU2026004-HW11,STU2026004,ALG1-A,HW11,2026-10-09,Submitted,20,17.2,No,No
AS-STU2026004-HW12,STU2026004,ALG1-A,HW12,2026-10-13,Submitted,20,15.6,No,No
AS-STU2026004-HW13,STU2026004,ALG1-A,HW13,2026-10-15,Submitted,20,18.9,No,No
AS-STU2026004-HW14,STU2026004,ALG1-A,HW14,2026-10-19,Submitted,10,8.9,No,No
AS-STU2026004-HW15,STU2026004,ALG1-A,HW15,2026-10-21,Submitted,20,20.0,No,No
AS-STU2026004-HW16,STU2026004,ALG1-A,HW16,2026-10-23,Submitted,20,20.0,No,No
AS-STU2026004-HW17,STU2026004,ALG1-A,HW17,,Missing,20,0,Yes,No
AS-STU2026004-HW18,STU2026004,ALG1-A,HW18,2026-10-29,Submitted,10,8.6,No,No
AS-STU2026005-HW01,STU2026005,ALG1-A,HW01,2026-09-11,Submitted,20,17.3,No,No
AS-STU2026005-HW02,STU2026005,ALG1-A,HW02,,Missing,10,0,Yes,No
AS-STU2026005-HW03,STU2026005,ALG1-A,HW03,2026-09-17,Submitted,20,12.5,No,No
AS-STU2026005-HW04,STU2026005,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026005-HW05,STU2026005,ALG1-A,HW05,2026-09-23,Submitted,20,14.6,No,No
AS-STU2026005-HW06,STU2026005,ALG1-A,HW06,2026-09-25,Submitted,20,15.6,No,No
AS-STU2026005-HW07,STU2026005,ALG1-A,HW07,2026-09-29,Submitted,10,7.9,No,No
AS-STU2026005-HW08,STU2026005,ALG1-A,HW08,,Missing,20,0,Yes,No
AS-STU2026005-HW09,STU2026005,ALG1-A,HW09,2026-10-05,Submitted,20,13.4,No,No
AS-STU2026005-HW10,STU2026005,ALG1-A,HW10,2026-10-08,Late,15,12.6,No,Yes
AS-STU2026005-HW11,STU2026005,ALG1-A,HW11,2026-10-09,Submitted,20,15.5,No,No
AS-STU2026005-HW12,STU2026005,ALG1-A,HW12,2026-10-13,Submitted,20,13.3,No,No
AS-STU2026005-HW13,STU2026005,ALG1-A,HW13,2026-10-15,Submitted,20,16.1,No,No
AS-STU2026005-HW14,STU2026005,ALG1-A,HW14,2026-10-20,Late,10,5.9,No,Yes
AS-STU2026005-HW15,STU2026005,ALG1-A,HW15,2026-10-21,Submitted,20,12.7,No,No
AS-STU2026005-HW16,STU2026005,ALG1-A,HW16,2026-10-23,Submitted,20,15.0,No,No
AS-STU2026005-HW17,STU2026005,ALG1-A,HW17,2026-10-27,Submitted,20,16.8,No,No
AS-STU2026005-HW18,STU2026005,ALG1-A,HW18,,Missing,10,0,Yes,No
AS-STU2026006-HW01,STU2026006,ALG1-A,HW01,2026-09-11,Submitted,20,18.8,No,No
AS-STU2026006-HW02,STU2026006,ALG1-A,HW02,2026-09-15,Submitted,10,8.2,No,No
AS-STU2026006-HW03,STU2026006,ALG1-A,HW03,2026-09-17,Submitted,20,12.5,No,No
AS-STU2026006-HW04,STU2026006,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026006-HW05,STU2026006,ALG1-A,HW05,2026-09-23,Submitted,20,15.6,No,No
AS-STU2026006-HW06,STU2026006,ALG1-A,HW06,2026-09-25,Submitted,20,14.6,No,No
AS-STU2026006-HW07,STU2026006,ALG1-A,HW07,2026-09-29,Submitted,10,4.8,No,No
AS-STU2026006-HW08,STU2026006,ALG1-A,HW08,2026-10-01,Submitted,20,14.2,No,No
AS-STU2026006-HW09,STU2026006,ALG1-A,HW09,2026-10-05,Submitted,20,17.2,No,No
AS-STU2026006-HW10,STU2026006,ALG1-A,HW10,,Missing,15,0,Yes,No
AS-STU2026006-HW11,STU2026006,ALG1-A,HW11,2026-10-09,Submitted,20,13.0,No,No
AS-STU2026006-HW12,STU2026006,ALG1-A,HW12,2026-10-13,Submitted,20,20.0,No,No
AS-STU2026006-HW13,STU2026006,ALG1-A,HW13,,Missing,20,0,Yes,No
AS-STU2026006-HW14,STU2026006,ALG1-A,HW14,2026-10-19,Submitted,10,9.2,No,No
AS-STU2026006-HW15,STU2026006,ALG1-A,HW15,2026-10-21,Submitted,20,12.8,No,No
AS-STU2026006-HW16,STU2026006,ALG1-A,HW16,2026-10-23,Late,20,10.2,No,Yes
AS-STU2026006-HW17,STU2026006,ALG1-A,HW17,2026-10-27,Submitted,20,16.6,No,No
AS-STU2026006-HW18,STU2026006,ALG1-A,HW18,2026-10-29,Submitted,10,8.8,No,No
AS-STU2026007-HW01,STU2026007,ALG1-A,HW01,2026-09-11,Submitted,20,13.4,No,No
AS-STU2026007-HW02,STU2026007,ALG1-A,HW02,2026-09-15,Submitted,10,4.7,No,No
AS-STU2026007-HW03,STU2026007,ALG1-A,HW03,2026-09-17,Submitted,20,18.0,No,No
AS-STU2026007-HW04,STU2026007,ALG1-A,HW04,2026-09-21,Submitted,20,11.6,No,No
AS-STU2026007-HW05,STU2026007,ALG1-A,HW05,2026-09-23,Submitted,20,10.8,No,No
AS-STU2026007-HW06,STU2026007,ALG1-A,HW06,2026-09-25,Submitted,20,12.8,No,No
AS-STU2026007-HW07,STU2026007,ALG1-A,HW07,2026-09-29,Late,10,5.3,No,Yes
AS-STU2026007-HW08,STU2026007,ALG1-A,HW08,2026-10-01,Submitted,20,7.8,No,No
AS-STU2026007-HW09,STU2026007,ALG1-A,HW09,2026-10-05,Submitted,20,14.2,No,No
AS-STU2026007-HW10,STU2026007,ALG1-A,HW10,2026-10-07,Submitted,15,9.0,No,No
AS-STU2026007-HW11,STU2026007,ALG1-A,HW11,,Missing,20,0,Yes,No
AS-STU2026007-HW12,STU2026007,ALG1-A,HW12,2026-10-13,Submitted,20,13.5,No,No
AS-STU2026007-HW13,STU2026007,ALG1-A,HW13,2026-10-15,Submitted,20,9.6,No,No
AS-STU2026007-HW14,STU2026007,ALG1-A,HW14,2026-10-19,Submitted,10,6.3,No,No
AS-STU2026007-HW15,STU2026007,ALG1-A,HW15,2026-10-21,Submitted,20,16.0,No,No
AS-STU2026007-HW16,STU2026007,ALG1-A,HW16,,Missing,20,0,Yes,No
AS-STU2026007-HW17,STU2026007,ALG1-A,HW17,2026-10-27,Submitted,20,9.0,No,No
AS-STU2026007-HW18,STU2026007,ALG1-A,HW18,2026-10-31,Late,10,6.2,No,Yes
AS-STU2026008-HW01,STU2026008,ALG1-A,HW01,2026-09-12,Late,20,13.2,No,Yes
AS-STU2026008-HW02,STU2026008,ALG1-A,HW02,2026-09-15,Submitted,10,5.4,No,No
AS-STU2026008-HW03,STU2026008,ALG1-A,HW03,2026-09-17,Submitted,20,15.8,No,No
AS-STU2026008-HW04,STU2026008,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026008-HW05,STU2026008,ALG1-A,HW05,2026-09-23,Submitted,20,13.1,No,No
AS-STU2026008-HW06,STU2026008,ALG1-A,HW06,2026-09-25,Submitted,20,9.2,No,No
AS-STU2026008-HW07,STU2026008,ALG1-A,HW07,2026-09-29,Submitted,10,6.9,No,No
AS-STU2026008-HW08,STU2026008,ALG1-A,HW08,2026-10-01,Submitted,20,12.8,No,No
AS-STU2026008-HW09,STU2026008,ALG1-A,HW09,2026-10-05,Submitted,20,11.4,No,No
AS-STU2026008-HW10,STU2026008,ALG1-A,HW10,2026-10-07,Submitted,15,10.9,No,No
AS-STU2026008-HW11,STU2026008,ALG1-A,HW11,2026-10-09,Submitted,20,9.9,No,No
AS-STU2026008-HW12,STU2026008,ALG1-A,HW12,2026-10-13,Submitted,20,17.2,No,No
AS-STU2026008-HW13,STU2026008,ALG1-A,HW13,2026-10-18,Late,20,11.3,No,Yes
AS-STU2026008-HW14,STU2026008,ALG1-A,HW14,2026-10-22,Late,10,6.0,No,Yes
AS-STU2026008-HW15,STU2026008,ALG1-A,HW15,,Missing,20,0,Yes,No
AS-STU2026008-HW16,STU2026008,ALG1-A,HW16,2026-10-24,Late,20,10.6,No,Yes
AS-STU2026008-HW17,STU2026008,ALG1-A,HW17,2026-10-28,Late,20,9.3,No,Yes
AS-STU2026008-HW18,STU2026008,ALG1-A,HW18,2026-10-29,Late,10,8.0,No,Yes
AS-STU2026009-HW01,STU2026009,ALG1-A,HW01,,Missing,20,0,Yes,No
AS-STU2026009-HW02,STU2026009,ALG1-A,HW02,,Missing,10,0,Yes,No
AS-STU2026009-HW03,STU2026009,ALG1-A,HW03,2026-09-17,Submitted,20,14.6,No,No
AS-STU2026009-HW04,STU2026009,ALG1-A,HW04,2026-09-21,Submitted,20,18.9,No,No
AS-STU2026009-HW05,STU2026009,ALG1-A,HW05,2026-09-23,Submitted,20,14.7,No,No
AS-STU2026009-HW06,STU2026009,ALG1-A,HW06,,Missing,20,0,Yes,No
AS-STU2026009-HW07,STU2026009,ALG1-A,HW07,,Missing,10,0,Yes,No
AS-STU2026009-HW08,STU2026009,ALG1-A,HW08,2026-10-01,Submitted,20,18.2,No,No
AS-STU2026009-HW09,STU2026009,ALG1-A,HW09,2026-10-05,Submitted,20,7.0,No,No
AS-STU2026009-HW10,STU2026009,ALG1-A,HW10,2026-10-07,Submitted,15,9.2,No,No
AS-STU2026009-HW11,STU2026009,ALG1-A,HW11,2026-10-09,Submitted,20,14.1,No,No
AS-STU2026009-HW12,STU2026009,ALG1-A,HW12,2026-10-13,Submitted,20,18.8,No,No
AS-STU2026009-HW13,STU2026009,ALG1-A,HW13,2026-10-15,Submitted,20,15.7,No,No
AS-STU2026009-HW14,STU2026009,ALG1-A,HW14,2026-10-19,Submitted,10,8.7,No,No
AS-STU2026009-HW15,STU2026009,ALG1-A,HW15,,Missing,20,0,Yes,No
AS-STU2026009-HW16,STU2026009,ALG1-A,HW16,,Missing,20,0,Yes,No
AS-STU2026009-HW17,STU2026009,ALG1-A,HW17,,Missing,20,0,Yes,No
AS-STU2026009-HW18,STU2026009,ALG1-A,HW18,2026-10-29,Submitted,10,7.4,No,No
AS-STU2026010-HW01,STU2026010,ALG1-A,HW01,2026-09-11,Submitted,20,13.8,No,No
AS-STU2026010-HW02,STU2026010,ALG1-A,HW02,2026-09-15,Submitted,10,7.8,No,No
AS-STU2026010-HW03,STU2026010,ALG1-A,HW03,2026-09-17,Submitted,20,8.7,No,No
AS-STU2026010-HW04,STU2026010,ALG1-A,HW04,2026-09-21,Submitted,20,16.9,No,No
AS-STU2026010-HW05,STU2026010,ALG1-A,HW05,2026-09-23,Submitted,20,13.0,No,No
AS-STU2026010-HW06,STU2026010,ALG1-A,HW06,,Missing,20,0,Yes,No
AS-STU2026010-HW07,STU2026010,ALG1-A,HW07,2026-09-29,Submitted,10,5.5,No,No
AS-STU2026010-HW08,STU2026010,ALG1-A,HW08,2026-10-01,Submitted,20,14.7,No,No
AS-STU2026010-HW09,STU2026010,ALG1-A,HW09,2026-10-05,Submitted,20,14.6,No,No
AS-STU2026010-HW10,STU2026010,ALG1-A,HW10,,Missing,15,0,Yes,No
AS-STU2026010-HW11,STU2026010,ALG1-A,HW11,2026-10-09,Submitted,20,14.0,No,No
AS-STU2026010-HW12,STU2026010,ALG1-A,HW12,2026-10-13,Submitted,20,11.3,No,No
AS-STU2026010-HW13,STU2026010,ALG1-A,HW13,2026-10-15,Submitted,20,11.2,No,No
AS-STU2026010-HW14,STU2026010,ALG1-A,HW14,2026-10-19,Submitted,10,7.4,No,No
AS-STU2026010-HW15,STU2026010,ALG1-A,HW15,2026-10-21,Submitted,20,13.3,No,No
AS-STU2026010-HW16,STU2026010,ALG1-A,HW16,2026-10-23,Submitted,20,13.4,No,No
AS-STU2026010-HW17,STU2026010,ALG1-A,HW17,2026-10-27,Submitted,20,13.0,No,No
AS-STU2026010-HW18,STU2026010,ALG1-A,HW18,2026-10-29,Submitted,10,7.9,No,No
AS-STU2026011-HW01,STU2026011,ALG1-A,HW01,2026-09-11,Submitted,20,18.3,No,No
AS-STU2026011-HW02,STU2026011,ALG1-A,HW02,2026-09-15,Submitted,10,9.1,No,No
AS-STU2026011-HW03,STU2026011,ALG1-A,HW03,2026-09-17,Submitted,20,18.9,No,No
AS-STU2026011-HW04,STU2026011,ALG1-A,HW04,2026-09-21,Submitted,20,17.4,No,No
AS-STU2026011-HW05,STU2026011,ALG1-A,HW05,,Missing,20,0,Yes,No
AS-STU2026011-HW06,STU2026011,ALG1-A,HW06,,Missing,20,0,Yes,No
AS-STU2026011-HW07,STU2026011,ALG1-A,HW07,2026-09-29,Submitted,10,9.0,No,No
AS-STU2026011-HW08,STU2026011,ALG1-A,HW08,2026-10-01,Submitted,20,20.0,No,No
AS-STU2026011-HW09,STU2026011,ALG1-A,HW09,2026-10-07,Late,20,18.0,No,Yes
AS-STU2026011-HW10,STU2026011,ALG1-A,HW10,,Missing,15,0,Yes,No
AS-STU2026011-HW11,STU2026011,ALG1-A,HW11,2026-10-09,Submitted,20,19.3,No,No
AS-STU2026011-HW12,STU2026011,ALG1-A,HW12,2026-10-13,Submitted,20,18.6,No,No
AS-STU2026011-HW13,STU2026011,ALG1-A,HW13,2026-10-15,Submitted,20,14.8,No,No
AS-STU2026011-HW14,STU2026011,ALG1-A,HW14,2026-10-19,Submitted,10,9.5,No,No
AS-STU2026011-HW15,STU2026011,ALG1-A,HW15,2026-10-21,Submitted,20,15.7,No,No
AS-STU2026011-HW16,STU2026011,ALG1-A,HW16,,Missing,20,0,Yes,No
AS-STU2026011-HW17,STU2026011,ALG1-A,HW17,2026-10-27,Submitted,20,14.2,No,No
AS-STU2026011-HW18,STU2026011,ALG1-A,HW18,2026-10-29,Submitted,10,9.6,No,No
AS-STU2026012-HW01,STU2026012,ALG1-A,HW01,2026-09-11,Submitted,20,15.8,No,No
AS-STU2026012-HW02,STU2026012,ALG1-A,HW02,,Missing,10,0,Yes,No
AS-STU2026012-HW03,STU2026012,ALG1-A,HW03,2026-09-17,Submitted,20,16.7,No,No
AS-STU2026012-HW04,STU2026012,ALG1-A,HW04,2026-09-21,Submitted,20,16.2,No,No
AS-STU2026012-HW05,STU2026012,ALG1-A,HW05,2026-09-23,Submitted,20,11.5,No,No
AS-STU2026012-HW06,STU2026012,ALG1-A,HW06,2026-09-25,Submitted,20,14.3,No,No
AS-STU2026012-HW07,STU2026012,ALG1-A,HW07,2026-09-29,Submitted,10,7.4,No,No
AS-STU2026012-HW08,STU2026012,ALG1-A,HW08,2026-10-01,Late,20,11.9,No,Yes
AS-STU2026012-HW09,STU2026012,ALG1-A,HW09,2026-10-05,Submitted,20,11.5,No,No
AS-STU2026012-HW10,STU2026012,ALG1-A,HW10,2026-10-07,Submitted,15,6.1,No,No
AS-STU2026012-HW11,STU2026012,ALG1-A,HW11,2026-10-09,Submitted,20,11.2,No,No
AS-STU2026012-HW12,STU2026012,ALG1-A,HW12,2026-10-13,Submitted,20,13.3,No,No
AS-STU2026012-HW13,STU2026012,ALG1-A,HW13,2026-10-15,Submitted,20,11.8,No,No
AS-STU2026012-HW14,STU2026012,ALG1-A,HW14,2026-10-19,Submitted,10,5.9,No,No
AS-STU2026012-HW15,STU2026012,ALG1-A,HW15,2026-10-21,Submitted,20,13.6,No,No
AS-STU2026012-HW16,STU2026012,ALG1-A,HW16,2026-10-23,Submitted,20,10.5,No,No
AS-STU2026012-HW17,STU2026012,ALG1-A,HW17,2026-10-27,Submitted,20,12.5,No,No
AS-STU2026012-HW18,STU2026012,ALG1-A,HW18,,Missing,10,0,Yes,No
AS-STU2026013-HW01,STU2026013,ALG1-A,HW01,2026-09-11,Submitted,20,12.5,No,No
AS-STU2026013-HW02,STU2026013,ALG1-A,HW02,2026-09-15,Submitted,10,8.5,No,No
AS-STU2026013-HW03,STU2026013,ALG1-A,HW03,2026-09-17,Submitted,20,14.5,No,No
AS-STU2026013-HW04,STU2026013,ALG1-A,HW04,2026-09-21,Submitted,20,19.1,No,No
AS-STU2026013-HW05,STU2026013,ALG1-A,HW05,2026-09-23,Submitted,20,17.2,No,No
AS-STU2026013-HW06,STU2026013,ALG1-A,HW06,2026-09-25,Submitted,20,16.8,No,No
AS-STU2026013-HW07,STU2026013,ALG1-A,HW07,2026-09-29,Submitted,10,6.7,No,No
AS-STU2026013-HW08,STU2026013,ALG1-A,HW08,2026-10-01,Submitted,20,14.1,No,No
AS-STU2026013-HW09,STU2026013,ALG1-A,HW09,2026-10-05,Submitted,20,14.5,No,No
AS-STU2026013-HW10,STU2026013,ALG1-A,HW10,2026-10-07,Submitted,15,13.3,No,No
AS-STU2026013-HW11,STU2026013,ALG1-A,HW11,2026-10-09,Submitted,20,11.5,No,No
AS-STU2026013-HW12,STU2026013,ALG1-A,HW12,2026-10-13,Submitted,20,20.0,No,No
AS-STU2026013-HW13,STU2026013,ALG1-A,HW13,2026-10-15,Submitted,20,18.8,No,No
AS-STU2026013-HW14,STU2026013,ALG1-A,HW14,2026-10-19,Submitted,10,8.7,No,No
AS-STU2026013-HW15,STU2026013,ALG1-A,HW15,2026-10-21,Submitted,20,18.9,No,No
AS-STU2026013-HW16,STU2026013,ALG1-A,HW16,2026-10-23,Submitted,20,15.6,No,No
AS-STU2026013-HW17,STU2026013,ALG1-A,HW17,2026-10-27,Submitted,20,15.3,No,No
AS-STU2026013-HW18,STU2026013,ALG1-A,HW18,2026-10-29,Submitted,10,8.1,No,No
AS-STU2026014-HW01,STU2026014,ALG1-A,HW01,,Missing,20,0,Yes,No
AS-STU2026014-HW02,STU2026014,ALG1-A,HW02,2026-09-15,Submitted,10,8.4,No,No
AS-STU2026014-HW03,STU2026014,ALG1-A,HW03,2026-09-17,Submitted,20,11.4,No,No
AS-STU2026014-HW04,STU2026014,ALG1-A,HW04,2026-09-21,Submitted,20,20.0,No,No
AS-STU2026014-HW05,STU2026014,ALG1-A,HW05,2026-09-23,Submitted,20,15.7,No,No
AS-STU2026014-HW06,STU2026014,ALG1-A,HW06,2026-09-25,Submitted,20,14.3,No,No
AS-STU2026014-HW07,STU2026014,ALG1-A,HW07,,Missing,10,0,Yes,No
AS-STU2026014-HW08,STU2026014,ALG1-A,HW08,2026-10-01,Submitted,20,16.6,No,No
AS-STU2026014-HW09,STU2026014,ALG1-A,HW09,2026-10-05,Submitted,20,18.2,No,No
AS-STU2026014-HW10,STU2026014,ALG1-A,HW10,,Missing,15,0,Yes,No
AS-STU2026014-HW11,STU2026014,ALG1-A,HW11,,Missing,20,0,Yes,No
AS-STU2026014-HW12,STU2026014,ALG1-A,HW12,2026-10-15,Late,20,13.5,No,Yes
AS-STU2026014-HW13,STU2026014,ALG1-A,HW13,2026-10-15,Submitted,20,16.7,No,No
AS-STU2026014-HW14,STU2026014,ALG1-A,HW14,2026-10-19,Submitted,10,10.0,No,No
AS-STU2026014-HW15,STU2026014,ALG1-A,HW15,2026-10-21,Submitted,20,18.7,No,No
AS-STU2026014-HW16,STU2026014,ALG1-A,HW16,2026-10-23,Submitted,20,18.5,No,No
AS-STU2026014-HW17,STU2026014,ALG1-A,HW17,2026-10-27,Submitted,20,19.5,No,No
AS-STU2026014-HW18,STU2026014,ALG1-A,HW18,2026-10-29,Submitted,10,8.3,No,No
AS-STU2026015-HW01,STU2026015,ALG1-A,HW01,2026-09-11,Submitted,20,14.0,No,No
AS-STU2026015-HW02,STU2026015,ALG1-A,HW02,2026-09-15,Submitted,10,8.4,No,No
AS-STU2026015-HW03,STU2026015,ALG1-A,HW03,,Missing,20,0,Yes,No
AS-STU2026015-HW04,STU2026015,ALG1-A,HW04,,Missing,20,0,Yes,No
AS-STU2026015-HW05,STU2026015,ALG1-A,HW05,2026-09-23,Submitted,20,15.7,No,No
AS-STU2026015-HW06,STU2026015,ALG1-A,HW06,,Missing,20,0,Yes,No
AS-STU2026015-HW07,STU2026015,ALG1-A,HW07,2026-09-29,Submitted,10,8.5,No,No
AS-STU2026015-HW08,STU2026015,ALG1-A,HW08,2026-10-01,Submitted,20,13.4,No,No
AS-STU2026015-HW09,STU2026015,ALG1-A,HW09,,Missing,20,0,Yes,No
AS-STU2026015-HW10,STU2026015,ALG1-A,HW10,2026-10-07,Submitted,15,13.3,No,No
AS-STU2026015-HW11,STU2026015,ALG1-A,HW11,2026-10-12,Late,20,15.2,No,Yes
AS-STU2026015-HW12,STU2026015,ALG1-A,HW12,2026-10-13,Submitted,20,17.3,No,No
AS-STU2026015-HW13,STU2026015,ALG1-A,HW13,2026-10-15,Submitted,20,10.6,No,No
AS-STU2026015-HW14,STU2026015,ALG1-A,HW14,2026-10-19,Submitted,10,9.4,No,No
AS-STU2026015-HW15,STU2026015,ALG1-A,HW15,2026-10-21,Submitted,20,14.8,No,No
AS-STU2026015-HW16,STU2026015,ALG1-A,HW16,2026-10-26,Late,20,14.2,No,Yes
