enrollment_id,student_id,course_id,enrollment_start,enrollment_end
ENR-STU2026001-ALG1-A,STU2026001,ALG1-A,2026-09-08,
ENR-STU2026002-ALG1-A,STU2026002,ALG1-A,2026-09-08,
ENR-STU2026003-ALG1-A,STU2026003,ALG1-A,2026-09-08,
ENR-STU2026004-ALG1-A,STU2026004,ALG1-A,2026-09-08,
ENR-STU2026005-ALG1-A,STU2026005,ALG1-A,2026-09-08,
ENR-STU2026006-ALG1-A,STU2026006,ALG1-A,2026-09-08,
ENR-STU2026007-ALG1-A,STU2026007,ALG1-A,2026-09-08,
ENR-STU2026008-ALG1-A,STU2026008,ALG1-A,2026-09-08,
ENR-STU2026009-ALG1-A,STU2026009,ALG1-A,2026-09-08,
ENR-STU2026010-ALG1-A,STU2026010,ALG1-A,2026-09-08,
ENR-STU2026011-ALG1-A,STU2026011,ALG1-A,2026-09-08,
ENR-STU2026012-ALG1-A,STU2026012,ALG1-A,2026-09-08,
ENR-STU2026013-ALG1-A,STU2026013,ALG1-A,2026-09-08,
ENR-STU2026014-ALG1-A,STU2026014,ALG1-A,2026-09-08,
ENR-STU2026015-ALG1-A,STU2026015,ALG1-A,2026-09-08,
ENR-STU2026016-ALG1-A,STU2026016,ALG1-A,2026-09-08,
ENR-STU2026017-ALG1-A,STU2026017,ALG1-A,2026-09-08,
ENR-STU2026018-ALG1-A,STU2026018,ALG1-A,2026-09-08,
ENR-STU2026019-ALG1-A,STU2026019,ALG1-A,2026-09-08,
ENR-STU2026020-ALG1-A,STU2026020,ALG1-A,2026-09-08,
ENR-STU2026021-ALG1-A,STU2026021,ALG1-A,2026-09-08,
ENR-STU2026022-ALG1-A,STU2026022,ALG1-A,2026-09-08,
ENR-STU2026023-ALG1-A,STU2026023,ALG1-A,2026-09-08,
ENR-STU2026024-ALG1-A,STU2026024,ALG1-A,2026-09-08,
ENR-STU2026025-ALG1-A,STU2026025,ALG1-A,2026-09-08,
ENR-STU2026026-ALG1-A,STU2026026,ALG1-A,2026-09-08,
ENR-STU2026027-ALG1-A,STU2026027,ALG1-A,2026-09-08,
ENR-STU2026028-ALG1-A,STU2026028,ALG1-A,2026-09-08,
ENR-STU2026029-ALG1-A,STU2026029,ALG1-A,2026-09-08,
ENR-STU2026030-ALG1-A,STU2026030,ALG1-A,2026-09-08,
ENR-STU2026031-ALG1-A,STU2026031,ALG1-A,2026-09-08,
ENR-STU2026032-ALG1-A,STU2026032,ALG1-A,2026-09-08,
ENR-STU2026033-ALG1-A,STU2026033,ALG1-A,2026-09-08,
ENR-STU2026034-ALG1-A,STU2026034,ALG1-A,2026-09-08,
ENR-STU2026035-ALG1-A,STU2026035,ALG1-A,2026-09-08,
ENR-STU2026036-ALG1-A,STU2026036,ALG1-A,2026-09-08,
ENR-STU2026037-ALG1-A,STU2026037,ALG1-A,2026-09-08,
ENR-STU2026038-ALG1-A,STU2026038,ALG1-A,2026-09-08,
ENR-STU2026039-ALG1-A,STU2026039,ALG1-A,2026-09-08,
ENR-STU2026040-ALG1-A,STU2026040,ALG1-A,2026-09-08,
ENR-STU2026041-ALG1-B,STU2026041,ALG1-B,2026-09-08,
ENR-STU2026042-ALG1-B,STU2026042,ALG1-B,2026-09-08,
ENR-STU2026043-ALG1-B,STU2026043,ALG1-B,2026-09-08,
ENR-STU2026044-ALG1-B,STU2026044,ALG1-B,2026-09-08,
ENR-STU2026045-ALG1-B,STU2026045,ALG1-B,2026-09-08,
ENR-STU2026046-ALG1-B,STU2026046,ALG1-B,2026-09-08,
ENR-STU2026047-ALG1-B,STU2026047,ALG1-B,2026-09-08,
ENR-STU2026048-ALG1-B,STU2026048,ALG1-B,2026-09-08,
ENR-STU2026049-ALG1-B,STU2026049,ALG1-B,2026-09-08,
ENR-STU2026050-ALG1-B,STU2026050,ALG1-B,2026-09-08,
ENR-STU2026051-ALG1-B,STU2026051,ALG1-B,2026-09-08,
ENR-STU2026052-ALG1-B,STU2026052,ALG1-B,2026-09-08,
ENR-STU2026053-ALG1-B,STU2026053,ALG1-B,2026-09-08,
ENR-STU2026054-ALG1-B,STU2026054,ALG1-B,2026-09-08,
ENR-STU2026055-ALG1-B,STU2026055,ALG1-B,2026-09-08,
ENR-STU2026056-ALG1-B,STU2026056,ALG1-B,2026-09-08,
ENR-STU2026057-ALG1-B,STU2026057,ALG1-B,2026-09-08,
ENR-STU2026058-ALG1-B,STU2026058,ALG1-B,2026-09-08,
ENR-STU2026059-ALG1-B,STU2026059,ALG1-B,2026-09-08,
ENR-STU2026060-ALG1-B,STU2026060,ALG1-B,2026-09-08,
ENR-STU2026061-ALG1-B,STU2026061,ALG1-B,2026-09-08,
ENR-STU2026062-ALG1-B,STU2026062,ALG1-B,2026-09-08,
ENR-STU2026063-ALG1-B,STU2026063,ALG1-B,2026-09-08,
ENR-STU2026064-ALG1-B,STU2026064,ALG1-B,2026-09-08,
ENR-STU2026065-ALG1-B,STU2026065,ALG1-B,2026-09-08,
ENR-STU2026066-ALG1-B,STU2026066,ALG1-B,2026-09-08,
ENR-STU2026067-ALG1-B,STU2026067,ALG1-B,2026-09-08,
ENR-STU2026068-ALG1-B,STU2026068,ALG1-B,2026-09-08,
ENR-STU2026069-ALG1-B,STU2026069,ALG1-B,2026-09-08,
ENR-STU2026070-ALG1-B,STU2026070,ALG1-B,2026-09-08,
ENR-STU2026071-ALG1-B,STU2026071,ALG1-B,2026-09-08,
ENR-STU2026072-ALG1-B,STU2026072,ALG1-B,2026-09-08,
ENR-STU2026073-ALG1-B,STU2026073,ALG1-B,2026-09-08,
ENR-STU2026074-ALG1-B,STU2026074,ALG1-B,2026-09-08,
ENR-STU2026075-ALG1-B,STU2026075,ALG1-B,2026-09-08,
ENR-STU2026076-ALG1-B,STU2026076,ALG1-B,2026-09-08,
ENR-STU2026077-ALG1-B,STU2026077,ALG1-B,2026-09-08,
ENR-STU2026078-ALG1-B,STU2026078,ALG1-B,2026-09-08,
ENR-STU2026079-ALG1-B,STU2026079,ALG1-B,2026-09-08,
ENR-STU2026080-ALG1-B,STU2026080,ALG1-B,2026-09-08,
ENR-STU2026081-ALG1-C,STU2026081,ALG1-C,2026-09-08,
ENR-STU2026082-ALG1-C,STU2026082,ALG1-C,2026-09-08,
ENR-STU2026083-ALG1-C,STU2026083,ALG1-C,2026-09-08,
ENR-STU2026084-ALG1-C,STU2026084,ALG1-C,2026-09-08,
ENR-STU2026085-ALG1-C,STU2026085,ALG1-C,2026-09-08,
ENR-STU2026086-ALG1-C,STU2026086,ALG1-C,2026-09-08,
ENR-STU2026087-ALG1-C,STU2026087,ALG1-C,2026-09-08,
ENR-STU2026088-ALG1-C,STU2026088,ALG1-C,2026-09-08,
ENR-STU2026089-ALG1-C,STU2026089,ALG1-C,2026-09-08,
ENR-STU2026090-ALG1-C,STU2026090,ALG1-C,2026-09-08,
ENR-STU2026091-ALG1-C,STU2026091,ALG1-C,2026-09-08,
ENR-STU2026092-ALG1-C,STU2026092,ALG1-C,2026-09-08,
ENR-STU2026093-ALG1-C,STU2026093,ALG1-C,2026-09-08,
ENR-STU2026094-ALG1-C,STU2026094,ALG1-C,2026-09-08,
ENR-STU2026095-ALG1-C,STU2026095,ALG1-C,2026-09-08,
ENR-STU2026096-ALG1-C,STU2026096,ALG1-C,2026-09-08,
ENR-STU2026097-ALG1-C,STU2026097,ALG1-C,2026-09-08,
ENR-STU2026098-ALG1-C,STU2026098,ALG1-C,2026-09-08,
ENR-STU2026099-ALG1-C,STU2026099,ALG1-C,2026-09-08,
ENR-STU2026100-ALG1-C,STU2026100,ALG1-C,2026-09-08,
ENR-STU2026101-ALG1-C,STU2026101,ALG1-C,2026-09-08,
ENR-STU2026102-ALG1-C,STU2026102,ALG1-C,2026-09-08,
ENR-STU2026103-ALG1-C,STU2026103,ALG1-C,2026-09-08,
ENR-STU2026104-ALG1-C,STU2026104,ALG1-C,2026-09-08,
ENR-STU2026105-ALG1-C,STU2026105,ALG1-C,2026-09-08,
ENR-STU2026106-ALG1-C,STU2026106,ALG1-C,2026-09-08,
ENR-STU2026107-ALG1-C,STU2026107,ALG1-C,2026-09-08,
ENR-STU2026108-ALG1-C,STU2026108,ALG1-C,2026-09-08,
ENR-STU2026109-ALG1-C,STU2026109,ALG1-C,2026-09-08,
ENR-STU2026110-ALG1-C,STU2026110,ALG1-C,2026-09-08,
ENR-STU2026111-ALG1-C,STU2026111,ALG1-C,2026-09-08,
ENR-STU2026112-ALG1-C,STU2026112,ALG1-C,2026-09-08,
ENR-STU2026113-ALG1-C,STU2026113,ALG1-C,2026-09-08,
ENR-STU2026114-ALG1-C,STU2026114,ALG1-C,2026-09-08,
ENR-STU2026115-ALG1-C,STU2026115,ALG1-C,2026-09-08,
ENR-STU2026116-ALG1-C,STU2026116,ALG1-C,2026-09-08,
ENR-STU2026117-ALG1-C,STU2026117,ALG1-C,2026-09-08,
ENR-STU2026118-ALG1-C,STU2026118,ALG1-C,2026-09-08,
ENR-STU2026119-ALG1-C,STU2026119,ALG1-C,2026-09-08,
ENR-STU2026120-ALG1-C,STU2026120,ALG1-C,2026-09-08,
ENR-STU2026121-ALG1-D,STU2026121,ALG1-D,2026-09-08,
ENR-STU2026122-ALG1-D,STU2026122,ALG1-D,2026-09-08,
ENR-STU2026123-ALG1-D,STU2026123,ALG1-D,2026-09-08,
ENR-STU2026124-ALG1-D,STU2026124,ALG1-D,2026-09-08,
ENR-STU2026125-ALG1-D,STU2026125,ALG1-D,2026-09-08,
ENR-STU2026126-ALG1-D,STU2026126,ALG1-D,2026-09-08,
ENR-STU2026127-ALG1-D,STU2026127,ALG1-D,2026-09-08,
ENR-STU2026128-ALG1-D,STU2026128,ALG1-D,2026-09-08,
ENR-STU2026129-ALG1-D,STU2026129,ALG1-D,2026-09-08,
ENR-STU2026130-ALG1-D,STU2026130,ALG1-D,2026-09-08,
ENR-STU2026131-ALG1-D,STU2026131,ALG1-D,2026-09-08,
ENR-STU2026132-ALG1-D,STU2026132,ALG1-D,2026-09-08,
ENR-STU2026133-ALG1-D,STU2026133,ALG1-D,2026-09-08,
ENR-STU2026134-ALG1-D,STU2026134,ALG1-D,2026-09-08,
ENR-STU2026135-ALG1-D,STU2026135,ALG1-D,2026-09-08,
ENR-STU2026136-ALG1-D,STU2026136,ALG1-D,2026-09-08,
ENR-STU2026137-ALG1-D,STU2026137,ALG1-D,2026-09-08,
ENR-STU2026138-ALG1-D,STU2026138,ALG1-D,2026-09-08,
ENR-STU2026139-ALG1-D,STU2026139,ALG1-D,2026-09-08,
ENR-STU2026140-ALG1-D,STU2026140,ALG1-D,2026-09-08,
ENR-STU2026141-ALG1-D,STU2026141,ALG1-D,2026-09-08,
ENR-STU2026142-ALG1-D,STU2026142,ALG1-D,2026-09-08,
ENR-STU2026143-ALG1-D,STU2026143,ALG1-D,2026-09-08,
ENR-STU2026144-ALG1-D,STU2026144,ALG1-D,2026-09-08,
ENR-STU2026145-ALG1-D,STU2026145,ALG1-D,2026-09-08,
ENR-STU2026146-ALG1-D,STU2026146,ALG1-D,2026-09-08,
ENR-STU2026147-ALG1-D,STU2026147,ALG1-D,2026-09-08,
ENR-STU2026148-ALG1-D,STU2026148,ALG1-D,2026-09-08,
ENR-STU2026149-ALG1-D,STU2026149,ALG1-D,2026-09-08,
