snapshot_id,student_id,course_id,week_number,current_grade_pct,assignment_avg_pct,assessment_avg_pct,missing_assignments,late_assignments,absences,tardies,behavior_incidents,risk_band,recommended_next_step
GS-STU2026001-W09,STU2026001,ALG1-A,9,70.5,64.2,75.7,2,4,2,0,0,Medium,Check-in and missing-work plan
GS-STU2026002-W09,STU2026002,ALG1-A,9,52.5,45.5,58.3,4,2,4,2,0,High,Parent contact + intervention plan
GS-STU2026003-W09,STU2026003,ALG1-A,9,43.1,36.9,48.1,5,2,5,1,1,High,Parent contact + intervention plan
GS-STU2026004-W09,STU2026004,ALG1-A,9,81.8,78.7,84.4,2,3,2,0,0,Low,Continue monitoring
GS-STU2026005-W09,STU2026005,ALG1-A,9,70.4,60.1,78.9,4,2,3,4,0,Medium,Check-in and missing-work plan
GS-STU2026006-W09,STU2026006,ALG1-A,9,62.0,62.4,61.6,3,1,8,0,1,High,Parent contact + intervention plan
GS-STU2026007-W09,STU2026007,ALG1-A,9,53.7,53.4,53.9,2,2,3,1,1,High,Parent contact + intervention plan
GS-STU2026008-W09,STU2026008,ALG1-A,9,52.7,54.3,51.3,2,6,2,0,1,High,Parent contact + intervention plan
GS-STU2026009-W09,STU2026009,ALG1-A,9,62.8,46.8,75.9,7,0,5,3,1,High,Parent contact + intervention plan
GS-STU2026010-W09,STU2026010,ALG1-A,9,64.5,59.2,68.7,2,0,4,4,1,High,Parent contact + intervention plan
GS-STU2026011-W09,STU2026011,ALG1-A,9,78.2,67.4,87.1,4,1,1,1,1,Medium,Check-in and missing-work plan
GS-STU2026012-W09,STU2026012,ALG1-A,9,58.5,60.4,56.9,2,1,13,1,0,High,Parent contact + intervention plan
GS-STU2026013-W09,STU2026013,ALG1-A,9,77.9,80.7,75.7,0,0,0,1,2,Low,Continue monitoring
GS-STU2026014-W09,STU2026014,ALG1-A,9,82.5,66.6,95.6,4,1,6,2,1,Medium,Check-in and missing-work plan
GS-STU2026015-W09,STU2026015,ALG1-A,9,63.4,56.6,69.0,4,2,5,1,0,High,Parent contact + intervention plan
GS-STU2026016-W09,STU2026016,ALG1-A,9,47.5,32.2,60.0,8,1,15,5,0,High,Parent contact + intervention plan
GS-STU2026017-W09,STU2026017,ALG1-A,9,86.0,86.9,85.3,0,0,4,1,0,Medium,Check-in and missing-work plan
GS-STU2026018-W09,STU2026018,ALG1-A,9,60.2,60.4,60.0,2,3,0,1,0,High,Parent contact + intervention plan
GS-STU2026019-W09,STU2026019,ALG1-A,9,38.0,33.6,41.6,4,0,5,2,2,High,Parent contact + intervention plan
GS-STU2026020-W09,STU2026020,ALG1-A,9,74.7,59.6,87.1,4,5,3,0,0,Medium,Check-in and missing-work plan
GS-STU2026021-W09,STU2026021,ALG1-A,9,75.3,82.4,69.5,1,1,6,1,0,Medium,Check-in and missing-work plan
GS-STU2026022-W09,STU2026022,ALG1-A,9,74.8,72.9,76.3,0,2,0,1,0,Medium,Check-in and missing-work plan
GS-STU2026023-W09,STU2026023,ALG1-A,9,69.1,64.9,72.5,2,2,1,2,0,Medium,Check-in and missing-work plan
GS-STU2026024-W09,STU2026024,ALG1-A,9,57.6,50.6,63.2,4,3,9,0,0,High,Parent contact + intervention plan
GS-STU2026025-W09,STU2026025,ALG1-A,9,67.8,72.1,64.3,0,0,11,2,0,High,Parent contact + intervention plan
GS-STU2026026-W09,STU2026026,ALG1-A,9,79.9,78.1,81.3,1,1,3,2,0,Low,Continue monitoring
GS-STU2026027-W09,STU2026027,ALG1-A,9,62.8,63.2,62.5,1,1,0,2,0,High,Parent contact + intervention plan
GS-STU2026028-W09,STU2026028,ALG1-A,9,51.2,35.6,63.9,7,3,10,1,2,High,Parent contact + intervention plan
GS-STU2026029-W09,STU2026029,ALG1-A,9,74.0,70.8,76.6,3,1,2,3,2,Medium,Check-in and missing-work plan
GS-STU2026030-W09,STU2026030,ALG1-A,9,80.4,68.1,90.5,4,2,5,4,1,Medium,Check-in and missing-work plan
GS-STU2026031-W09,STU2026031,ALG1-A,9,62.5,61.5,63.3,3,2,9,0,1,High,Parent contact + intervention plan
GS-STU2026032-W09,STU2026032,ALG1-A,9,47.9,44.2,50.9,6,0,3,1,1,High,Parent contact + intervention plan
