intervention_id,student_id,course_id,date,intervention_type,assigned_by,follow_up_date,outcome
INT-STU2026001-01,STU2026001,ALG1-A,2026-10-21,Missing work contract,Sanjay Chhetri,2026-11-09,No change
INT-STU2026002-01,STU2026002,ALG1-A,2026-10-28,Parent email,Sanjay Chhetri,2026-11-09,Pending
INT-STU2026003-01,STU2026003,ALG1-A,2026-10-28,Counselor check-in,Sanjay Chhetri,2026-11-09,No change
INT-STU2026005-01,STU2026005,ALG1-A,2026-10-28,Missing work contract,Sanjay Chhetri,2026-11-09,No change
INT-STU2026006-01,STU2026006,ALG1-A,2026-10-26,Counselor check-in,Sanjay Chhetri,2026-11-09,Pending
INT-STU2026007-01,STU2026007,ALG1-A,2026-11-04,Parent email,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026008-01,STU2026008,ALG1-A,2026-10-29,Student conference,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026009-01,STU2026009,ALG1-A,2026-11-05,Student conference,Sanjay Chhetri,2026-11-09,No change
INT-STU2026010-01,STU2026010,ALG1-A,2026-11-04,Counselor check-in,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026011-01,STU2026011,ALG1-A,2026-10-21,Parent email,Sanjay Chhetri,2026-11-09,No change
INT-STU2026012-01,STU2026012,ALG1-A,2026-11-06,Lunch tutoring invite,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026014-01,STU2026014,ALG1-A,2026-11-02,Lunch tutoring invite,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026015-01,STU2026015,ALG1-A,2026-11-05,Lunch tutoring invite,Sanjay Chhetri,2026-11-09,Pending
INT-STU2026016-01,STU2026016,ALG1-A,2026-10-28,Parent email,Sanjay Chhetri,2026-11-09,Improved
INT-STU2026017-01,STU2026017,ALG1-A,2026-10-30,Student conference,Sanjay Chhetri,2026-11-09,Pending
INT-STU2026018-01,STU2026018,ALG1-A,2026-11-09,Lunch tutoring invite,Sanjay Chhetri,2026-11-09,Improved
